# Rime user dictionary
#@/db_name	jyutping.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	1656
#@/user_id	yongli-macbookpro
aa 	呀	c=6 d=0.724768 t=1656
haa 	下	c=2 d=0.15725 t=1656
haa coeng 	下場	c=1 d=0.571209 t=1656
haa fo 	下課	c=1 d=0.159614 t=1656
haak 	客	c=1 d=0.546074 t=1656
haau 	敲	c=1 d=0.000590229 t=1656
haau leoi 	考慮	c=1 d=0.0800583 t=1656
haau zeon 	校準	c=1 d=1 t=1609
hai 	係	c=7 d=1.89286 t=1656
hai 	喺	c=1 d=0.442639 t=1656
hak 	黑	c=0 d=0.1 t=1651
hak min 	黑麪	c=0 d=0.1 t=1651
han do 	很多	c=1 d=0.0342181 t=1656
han do jan 	很多人	c=1 d=0.0285814 t=1656
hang dung 	行動	c=1 d=0.000655574 t=1656
hat 	吃	c=1 d=0.263158 t=1656
hau 	口	c=2 d=0.357597 t=1656
hau 	猴	c=1 d=0.000405658 t=1656
hau hak min hak 	口黑麪黑	c=3 d=2.98506 t=1654
hau loi 	後來	c=1 d=0.060205 t=1656
hei ce 	汽車	c=2 d=0.00781428 t=1656
hei dak 	起得	c=1 d=0.0241131 t=1656
hei fun 	喜歡	c=1 d=0.0057417 t=1656
hei fun nei 	喜歡你	c=1 d=0.00577048 t=1656
hei lai 	起來	c=1 d=0.0175975 t=1656
hei loi 	起來	c=1 d=0.535261 t=1656
hei mong 	希望	c=1 d=0.219808 t=1656
heoi 	去	c=7 d=0.777409 t=1656
heoi gau 	虛構	c=1 d=0.00299743 t=1656
heoi nin 	去年	c=1 d=0.0391639 t=1656
heoi zou 	去做	c=0 d=0.00232837 t=1656
hin ceot 	顯出	c=1 d=0.0236356 t=1656
hin gwaa 	牽掛	c=1 d=0.00196945 t=1656
hing mui 	兄妹	c=1 d=0.591555 t=1656
hing zau 	輕舟	c=1 d=0.351692 t=1656
hing zuk 	慶祝	c=2 d=0.00218293 t=1656
ho 	何	c=1 d=0.246597 t=1656
ho 	可	c=1 d=0.247833 t=1656
ho ho 	呵呵	c=2 d=0.112954 t=1656
ho ji 	可以	c=6 d=0.303505 t=1656
ho ji maa 	可以嗎	c=1 d=0.0257325 t=1656
ho jung 	何用	c=1 d=0.000731802 t=1656
ho nang 	可能	c=6 d=0.264564 t=1656
ho wai 	何爲	c=1 d=0.00377257 t=1656
hoeng 	向	c=4 d=0.977709 t=1656
hoeng gong 	香港	c=2 d=0.0651347 t=1656
hoeng gong jan 	香港人	c=1 d=0.00918669 t=1656
hoi 	害	c=1 d=0.327915 t=1656
hoi 	開	c=1 d=0.265803 t=1656
hoi ci 	開始	c=1 d=0.00293051 t=1656
hoi ci heoi zou 	開始去做	c=1 d=0.0234005 t=1656
hoi liu 	開了	c=1 d=0.00481991 t=1656
hoi paa 	害怕	c=6 d=2.13817 t=1656
hok 	學	c=5 d=0.670625 t=1656
hok haau 	學校	c=1 d=0.0325493 t=1656
hok hok 	學學	c=0 d=5.67086e-05 t=1656
hok hok wui 	學學會	c=1 d=0.000569928 t=1656
hok sang 	學生	c=3 d=0.0943435 t=1656
hok zaap 	學習	c=6 d=0.570763 t=1656
hok zoeng 	學長	c=3 d=0.202212 t=1656
hon 	漢	c=2 d=0.0476904 t=1656
hon 	看	c=5 d=0.281708 t=1656
hon do 	看多	c=1 d=0.0280154 t=1656
hon dou 	看到	c=1 d=0.140156 t=1656
hon hon 	看看	c=1 d=0.0668703 t=1656
hon jat hon 	看一看	c=1 d=0.165299 t=1656
hon jau 	罕有	c=1 d=0.00334597 t=1656
hon jyu 	漢語	c=1 d=0.000608204 t=1656
hon jyu 	韓語	c=1 d=0.447088 t=1656
hon liu 	看了	c=0 d=0.0113608 t=1656
hon liu wui 	看了會	c=1 d=0.114178 t=1656
hon syu 	看書	c=1 d=0.000553084 t=1656
